id,cluster
4D5QLMjOP8bxl45X1T3878 ,10
3ZQ4ImZjzOWCgyz6mBEHnj ,9
6QG28FulnubhxvNnNS3D8S ,35
7cFr7zLBuMKTOXCaqtPZKV ,26
5DsFIYjWE6H4OdqQRaQree ,10
2sowiwuhxt4nLIWP6vWJOa ,12
5jfTIrmADLt0seRX9rwtKq ,29
13mRBBJNymUMfw7NQTj0HE ,8
2Bs2HbkizFCGVbkEtB3oES ,34
5cq7IxxCTwE1c58ckgELsc ,29
3VLdNTLmKpXu79TMCeRbLO ,10
3tpkutDbpsa2P09FNNlnmt ,17
3jWwXvWrJ1eFPCUrXJdR3E ,9
57byua1wdKVH3DM7qRoQ6l ,9
3peV3NsLuIUeOEh3Q4TuAH ,9
4moyNoNG30m55yBleLFIX3 ,39
1cXPkN2uKjwWRPhtssrRLX ,9
3FZp9Dzst1a9cnVJuxxtvH ,9
0JpKR3QQs88aTtMUZTtlLz ,17
67VZstMlh0uLvj7uORvB2D ,8
1aJrVsHwcQMZ8TZ6mlvT5J ,39
38vNwoJygRx1u77aJOV8Zb ,25
3wguFkdRBUO5dDOt5mNcPk ,1
1jlKdNbOA90rjnt88GJnwO ,24
0lBa7yynCMneCRM5xQCcVh ,9
4AVIdds2A4E4UsZcVU0Uso ,1
1TgoqOjkArBpOfp8YmvhVz ,37
4Qc2AnbiQVj9zUzRfrQNVQ ,39
6Oj0gEBy4t8cYNX43u6cXd ,16
3Si9u9FVlUTcUXVcawnstJ ,8
03KRkF62P0whzOVY8v3KGj ,12
45X6BMb7ONA5GPJTdWU1jr ,11
6WxHYIG5AQSLOtZmKaBWHV ,9
1NeLwFETswx8Fzxl2AFl91 ,9
17jdGfPOPtpm89OwbVufa7 ,39
0PnFxSp2D1zDZdWgFXrY1i ,39
2XTaMoUqPlJL8PLQnVNvlD ,9
3DfN5GaNQJuzHFXWbWZpxA ,38
13PUJCvdTSCT1dn70tlGdm ,26
5OojmQ36TXkfL2JfoFJcaq ,23
0oEyXbHhtUBqKdKHewG8Cn ,9
6TaKGAOEsoPz2Uu0HLUhKX ,9
52BUOdNI2TneBPq4EFOtAy ,31
41OGvdfzThkNxQVUkkWgq9 ,5
7DImv0qWPEiAYUPJ0yKuDd ,8
3IJdWvDzT1lUyemmA7PTO7 ,9
5JzmWgTgVsTylZOMYxk26C ,26
5aJ7cTGQSjJBdzJkN9Eyu2 ,26
7xdKS9c1dv054i2XIKauAD ,9
4K375NCv5eSw7aOM1hgJZn ,9
1Hfgps1Nri40uQ8gS2AGLZ ,9
2AKnsRHRxIoYMlV1aOfhSW ,9
6qm8PA7PYvxOqN1rS5be9N ,8
5XqXlrZLx0xPN5gSsfWPYF ,9
1K8QDzkFc5WgGZscMJ4Rmw ,37
3NNRdQduyl3MzJQE1chyRb ,35
585VdqgSkRikAnaaZIlK5I ,37
7DVrcgyLpYzQBMAAHCTw5U ,8
6CjZXjIVOFAWrftsbQwu4m ,23
70mFSEiloqJq2kUv3JO2wQ ,8
5jDtpfcwpvaY8lU4ha7NKC ,10
7s2Ds1VaDswEbGOoohCzgr ,23
